   Update      Virtual      Symbol Name      Decimal   

              A000_A230  ADCReadings                   
                A000_A6BC  [291]                      428
                A000_A6C0  [292]                      427
                A000_A6C4  [293]                      428
                A000_A6C8  [294]                      423
                A000_A6CC  [295]                      428
                A000_A6D0  [296]                      429
                A000_A6D4  [297]                      426
                A000_A6D8  [298]                      427
                A000_A6DC  [299]                      426
                A000_A6E0  [300]                      430
                A000_A6E4  [301]                      428
                A000_A6E8  [302]                      428
                A000_A6EC  [303]                      428
                A000_A6F0  [304]                      424
                A000_A6F4  [305]                      430
                A000_A6F8  [306]                      431
                A000_A6FC  [307]                      428
                A000_A700  [308]                      428
                A000_A704  [309]                      427
                A000_A708  [310]                      430
                A000_A70C  [311]                      428
                A000_A710  [312]                      428
                A000_A714  [313]                      428
                A000_A718  [314]                      423
                A000_A71C  [315]                      428
                A000_A720  [316]                      428
                A000_A724  [317]                      424
                A000_A728  [318]                      425
                A000_A72C  [319]                      423
                A000_A730  [320]                      427
                A000_A734  [321]                      425
                A000_A738  [322]                      424
                A000_A73C  [323]                      424
                A000_A740  [324]                      419
                A000_A744  [325]                      425
                A000_A748  [326]                      426
                A000_A74C  [327]                      423
                A000_A750  [328]                      423
                A000_A754  [329]                      422
                A000_A758  [330]                      425
                A000_A75C  [331]                      424
                A000_A760  [332]                      423
                A000_A764  [333]                      424
                A000_A768  [334]                      419
                A000_A76C  [335]                      426
                A000_A770  [336]                      426
                A000_A774  [337]                      423
                A000_A778  [338]                      424
                A000_A77C  [339]                      422
                A000_A780  [340]                      427
                A000_A784  [341]                      424
                A000_A788  [342]                      423
                A000_A78C  [343]                      424
                A000_A790  [344]                      420
                A000_A794  [345]                      425
                A000_A798  [346]                      427
                A000_A79C  [347]                      423
                A000_A7A0  [348]                      423
                A000_A7A4  [349]                      424
                A000_A7A8  [350]                      425
                A000_A7AC  [351]                      425
                A000_A7B0  [352]                      423
                A000_A7B4  [353]                      425
                A000_A7B8  [354]                      421
                A000_A7BC  [355]                      426
                A000_A7C0  [356]                      427
                A000_A7C4  [357]                      422
                A000_A7C8  [358]                      423
                A000_A7CC  [359]                      423
                A000_A7D0  [360]                      425
                A000_A7D4  [361]                      425
                A000_A7D8  [362]                      423
                A000_A7DC  [363]                      424
                A000_A7E0  [364]                      420
                A000_A7E4  [365]                      425
                A000_A7E8  [366]                      427
                A000_A7EC  [367]                      422
                A000_A7F0  [368]                      424
                A000_A7F4  [369]                      423
                A000_A7F8  [370]                      425
                A000_A7FC  [371]                      425
                A000_A800  [372]                      423
                A000_A804  [373]                      424
                A000_A808  [374]                      419
                A000_A80C  [375]                      424
                A000_A810  [376]                      427
                A000_A814  [377]                      421
                A000_A818  [378]                      423
                A000_A81C  [379]                      424
                A000_A820  [380]                      424
                A000_A824  [381]                      424
                A000_A828  [382]                      422
                A000_A82C  [383]                      424
                A000_A830  [384]                      420
                A000_A834  [385]                      424
                A000_A838  [386]                      426
                A000_A83C  [387]                      420
                A000_A840  [388]                      423
                A000_A844  [389]                      424
                A000_A848  [390]                      424
                A000_A84C  [391]                      424
                A000_A850  [392]                      422
                A000_A854  [393]                      424
                A000_A858  [394]                      421
                A000_A85C  [395]                      424
                A000_A860  [396]                      425
                A000_A864  [397]                      421
                A000_A868  [398]                      424
                A000_A86C  [399]                      423
                A000_A870  [400]                      424
                A000_A874  [401]                      424
                A000_A878  [402]                      423
                A000_A87C  [403]                      425
                A000_A880  [404]                      423
                A000_A884  [405]                      425
                A000_A888  [406]                      426
                A000_A88C  [407]                      420
                A000_A890  [408]                      424
                A000_A894  [409]                      424
                A000_A898  [410]                      424
                A000_A89C  [411]                      425
                A000_A8A0  [412]                      423
                A000_A8A4  [413]                      425
                A000_A8A8  [414]                      421
                A000_A8AC  [415]                      424
                A000_A8B0  [416]                      427
                A000_A8B4  [417]                      421
                A000_A8B8  [418]                      425
                A000_A8BC  [419]                      425
                A000_A8C0  [420]                      424
                A000_A8C4  [421]                      425
                A000_A8C8  [422]                      424
                A000_A8CC  [423]                      426
                A000_A8D0  [424]                      424
                A000_A8D4  [425]                      424
                A000_A8D8  [426]                      427
                A000_A8DC  [427]                      422
                A000_A8E0  [428]                      426
                A000_A8E4  [429]                      426
                A000_A8E8  [430]                      423
                A000_A8EC  [431]                      425
                A000_A8F0  [432]                      423
                A000_A8F4  [433]                      426
                A000_A8F8  [434]                      423
                A000_A8FC  [435]                      424
                A000_A900  [436]                      425
                A000_A904  [437]                      422
                A000_A908  [438]                      425
                A000_A90C  [439]                      424
                A000_A910  [440]                      422
                A000_A914  [441]                      424
                A000_A918  [442]                      423
                A000_A91C  [443]                      425
                A000_A920  [444]                      421
                A000_A924  [445]                      424
                A000_A928  [446]                      425
                A000_A92C  [447]                      421
                A000_A930  [448]                      425
                A000_A934  [449]                      424
                A000_A938  [450]                      422
                A000_A93C  [451]                      425
                A000_A940  [452]                      424
                A000_A944  [453]                      425
                A000_A948  [454]                      423
                A000_A94C  [455]                      424
                A000_A950  [456]                      427
                A000_A954  [457]                      423
                A000_A958  [458]                      426
                A000_A95C  [459]                      425
                A000_A960  [460]                      422
                A000_A964  [461]                      426
                A000_A968  [462]                      425
                A000_A96C  [463]                      427
                A000_A970  [464]                      426
                A000_A974  [465]                      423
