   Update      Virtual      Symbol Name      Decimal   

              A000_D110  ADCReadings                   
                A000_D728  [390]                      363
                A000_D72C  [391]                      363
                A000_D730  [392]                      362
                A000_D734  [393]                      363
                A000_D738  [394]                      358
                A000_D73C  [395]                      363
                A000_D740  [396]                      364
                A000_D744  [397]                      359
                A000_D748  [398]                      361
                A000_D74C  [399]                      361
                A000_D750  [400]                      364
                A000_D754  [401]                      363
                A000_D758  [402]                      361
                A000_D75C  [403]                      363
                A000_D760  [404]                      359
                A000_D764  [405]                      364
                A000_D768  [406]                      365
                A000_D76C  [407]                      360
                A000_D770  [408]                      361
                A000_D774  [409]                      361
                A000_D778  [410]                      364
                A000_D77C  [411]                      364
                A000_D780  [412]                      361
                A000_D784  [413]                      363
                A000_D788  [414]                      359
                A000_D78C  [415]                      364
                A000_D790  [416]                      365
                A000_D794  [417]                      359
                A000_D798  [418]                      363
                A000_D79C  [419]                      361
                A000_D7A0  [420]                      364
                A000_D7A4  [421]                      364
                A000_D7A8  [422]                      362
                A000_D7AC  [423]                      364
                A000_D7B0  [424]                      360
                A000_D7B4  [425]                      364
                A000_D7B8  [426]                      367
                A000_D7BC  [427]                      360
                A000_D7C0  [428]                      363
                A000_D7C4  [429]                      363
                A000_D7C8  [430]                      364
                A000_D7CC  [431]                      365
                A000_D7D0  [432]                      363
                A000_D7D4  [433]                      364
                A000_D7D8  [434]                      361
                A000_D7DC  [435]                      364
                A000_D7E0  [436]                      366
                A000_D7E4  [437]                      362
                A000_D7E8  [438]                      364
                A000_D7EC  [439]                      364
                A000_D7F0  [440]                      364
                A000_D7F4  [441]                      365
                A000_D7F8  [442]                      364
                A000_D7FC  [443]                      366
                A000_D800  [444]                      362
                A000_D804  [445]                      364
                A000_D808  [446]                      366
                A000_D80C  [447]                      361
                A000_D810  [448]                      363
                A000_D814  [449]                      362
                A000_D818  [450]                      362
                A000_D81C  [451]                      363
                A000_D820  [452]                      361
                A000_D824  [453]                      363
                A000_D828  [454]                      359
                A000_D82C  [455]                      361
                A000_D830  [456]                      363
                A000_D834  [457]                      357
                A000_D838  [458]                      360
                A000_D83C  [459]                      360
                A000_D840  [460]                      359
                A000_D844  [461]                      360
                A000_D848  [462]                      359
                A000_D84C  [463]                      360
                A000_D850  [464]                      356
                A000_D854  [465]                      359
                A000_D858  [466]                      361
                A000_D85C  [467]                      356
                A000_D860  [468]                      359
                A000_D864  [469]                      360
                A000_D868  [470]                      358
                A000_D86C  [471]                      360
                A000_D870  [472]                      358
                A000_D874  [473]                      360
                A000_D878  [474]                      357
                A000_D87C  [475]                      359
                A000_D880  [476]                      361
                A000_D884  [477]                      356
                A000_D888  [478]                      359
                A000_D88C  [479]                      359
                A000_D890  [480]                      358
                A000_D894  [481]                      360
                A000_D898  [482]                      358
                A000_D89C  [483]                      359
                A000_D8A0  [484]                      358
                A000_D8A4  [485]                      359
                A000_D8A8  [486]                      361
                A000_D8AC  [487]                      356
                A000_D8B0  [488]                      360
                A000_D8B4  [489]                      360
                A000_D8B8  [490]                      357
                A000_D8BC  [491]                      361
                A000_D8C0  [492]                      359
                A000_D8C4  [493]                      361
                A000_D8C8  [494]                      358
                A000_D8CC  [495]                      359
                A000_D8D0  [496]                      362
                A000_D8D4  [497]                      356
                A000_D8D8  [498]                      361
                A000_D8DC  [499]                      361
                A000_D8E0  [500]                      357
                A000_D8E4  [501]                      362
                A000_D8E8  [502]                      360
                A000_D8EC  [503]                      361
                A000_D8F0  [504]                      359
                A000_D8F4  [505]                      359
                A000_D8F8  [506]                      363
                A000_D8FC  [507]                      358
                A000_D900  [508]                      361
                A000_D904  [509]                      361
                A000_D908  [510]                      357
                A000_D90C  [511]                      360
                A000_D910  [512]                      361
                A000_D914  [513]                      362
                A000_D918  [514]                      359
                A000_D91C  [515]                      359
                A000_D920  [516]                      363
                A000_D924  [517]                      358
                A000_D928  [518]                      362
                A000_D92C  [519]                      362
                A000_D930  [520]                      357
                A000_D934  [521]                      361
                A000_D938  [522]                      361
                A000_D93C  [523]                      362
                A000_D940  [524]                      359
                A000_D944  [525]                      359
                A000_D948  [526]                      363
                A000_D94C  [527]                      359
                A000_D950  [528]                      363
                A000_D954  [529]                      361
                A000_D958  [530]                      357
                A000_D95C  [531]                      361
                A000_D960  [532]                      362
                A000_D964  [533]                      363
                A000_D968  [534]                      360
                A000_D96C  [535]                      358
                A000_D970  [536]                      364
                A000_D974  [537]                      360
                A000_D978  [538]                      363
                A000_D97C  [539]                      363
                A000_D980  [540]                      359
                A000_D984  [541]                      364
                A000_D988  [542]                      364
                A000_D98C  [543]                      363
                A000_D990  [544]                      362
                A000_D994  [545]                      359
                A000_D998  [546]                      364
                A000_D99C  [547]                      361
                A000_D9A0  [548]                      364
                A000_D9A4  [549]                      363
                A000_D9A8  [550]                      359
                A000_D9AC  [551]                      364
                A000_D9B0  [552]                      364
                A000_D9B4  [553]                      364
                A000_D9B8  [554]                      363
                A000_D9BC  [555]                      361
                A000_D9C0  [556]                      364
                A000_D9C4  [557]                      363
                A000_D9C8  [558]                      364
                A000_D9CC  [559]                      364
                A000_D9D0  [560]                      359
                A000_D9D4  [561]                      364
                A000_D9D8  [562]                      365
                A000_D9DC  [563]                      364
                A000_D9E0  [564]                      364
                A000_D9E4  [565]                      361
                A000_D9E8  [566]                      364
                A000_D9EC  [567]                      363
                A000_D9F0  [568]                      365
                A000_D9F4  [569]                      365
                A000_D9F8  [570]                      359
                A000_D9FC  [571]                      365
                A000_DA00  [572]                      366
                A000_DA04  [573]                      365
                A000_DA08  [574]                      364
                A000_DA0C  [575]                      361
                A000_DA10  [576]                      366
                A000_DA14  [577]                      364
                A000_DA18  [578]                      365
                A000_DA1C  [579]                      364
                A000_DA20  [580]                      360
                A000_DA24  [581]                      365
                A000_DA28  [582]                      366
                A000_DA2C  [583]                      364
                A000_DA30  [584]                      365
                A000_DA34  [585]                      363
                A000_DA38  [586]                      366
                A000_DA3C  [587]                      366
                A000_DA40  [588]                      366
                A000_DA44  [589]                      366
                A000_DA48  [590]                      360
                A000_DA4C  [591]                      366
                A000_DA50  [592]                      367
                A000_DA54  [593]                      365
                A000_DA58  [594]                      364
                A000_DA5C  [595]                      363
                A000_DA60  [596]                      367
                A000_DA64  [597]                      366
                A000_DA68  [598]                      366
                A000_DA6C  [599]                      367
                A000_DA70  [600]                      361
                A000_DA74  [601]                      367
                A000_DA78  [602]                      368
                A000_DA7C  [603]                      364
                A000_DA80  [604]                      365
                A000_DA84  [605]                      363
                A000_DA88  [606]                      367
                A000_DA8C  [607]                      367
                A000_DA90  [608]                      366
                A000_DA94  [609]                      366
                A000_DA98  [610]                      361
                A000_DA9C  [611]                      367
                A000_DAA0  [612]                      368
                A000_DAA4  [613]                      365
                A000_DAA8  [614]                      366
                A000_DAAC  [615]                      364
                A000_DAB0  [616]                      367
                A000_DAB4  [617]                      367
                A000_DAB8  [618]                      367
                A000_DABC  [619]                      368
                A000_DAC0  [620]                      362
                A000_DAC4  [621]                      368
                A000_DAC8  [622]                      368
                A000_DACC  [623]                      365
                A000_DAD0  [624]                      367
                A000_DAD4  [625]                      366
                A000_DAD8  [626]                      369
                A000_DADC  [627]                      367
                A000_DAE0  [628]                      367
                A000_DAE4  [629]                      369
                A000_DAE8  [630]                      364
                A000_DAEC  [631]                      368
                A000_DAF0  [632]                      369
                A000_DAF4  [633]                      366
                A000_DAF8  [634]                      368
                A000_DAFC  [635]                      366
                A000_DB00  [636]                      368
                A000_DB04  [637]                      368
                A000_DB08  [638]                      368
                A000_DB0C  [639]                      368
                A000_DB10  [640]                      364
                A000_DB14  [641]                      368
                A000_DB18  [642]                      369
                A000_DB1C  [643]                      365
                A000_DB20  [644]                      367
                A000_DB24  [645]                      364
                A000_DB28  [646]                      366
                A000_DB2C  [647]                      366
                A000_DB30  [648]                      364
                A000_DB34  [649]                      364
                A000_DB38  [650]                      360
                A000_DB3C  [651]                      364
                A000_DB40  [652]                      365
                A000_DB44  [653]                      360
                A000_DB48  [654]                      362
                A000_DB4C  [655]                      362
                A000_DB50  [656]                      362
                A000_DB54  [657]                      362
